Campaign_ID,Date,Channel,Objective,Target_Audience,Age_Group,Gender,Region,Impressions,Clicks,Spend,Conversions,Revenue
CAMP_001,2024-01-15,Facebook,Brand_Awareness,Fashion,18-24,Female,HCM,125000,3200,2500000,180,8500000
CAMP_002,2024-01-15,Google,Sales,Electronics,25-34,Male,HN,98000,4500,3200000,250,12500000
CAMP_003,2024-01-16,Instagram,Engagement,Food,18-24,Female,HCM,156000,5800,1800000,320,9800000
CAMP_004,2024-01-16,TikTok,Sales,Fashion,18-24,Female,DN,234000,8900,2100000,450,18000000
CAMP_005,2024-01-17,Facebook,Lead_Generation,Electronics,35-44,Male,HN,87000,2100,2800000,120,7200000
CAMP_006,2024-01-17,Google,Sales,Food,25-34,Both,HCM,145000,6700,4100000,380,19500000
CAMP_007,2024-01-18,Instagram,Brand_Awareness,Fashion,25-34,Female,HCM,198000,7200,3500000,410,16800000
CAMP_008,2024-01-18,Facebook,Sales,Food,35-44,Both,HN,112000,3900,2300000,210,10200000
CAMP_009,2024-01-19,TikTok,Engagement,Electronics,18-24,Male,DN,267000,9800,1900000,520,22000000
CAMP_010,2024-01-19,Google,Lead_Generation,Fashion,25-34,Female,HCM,134000,5100,3800000,290,14500000
CAMP_011,2024-01-20,Facebook,Sales,Electronics,35-44,Male,HN,95000,3300,3100000,180,9100000
CAMP_012,2024-01-20,Instagram,Brand_Awareness,Food,18-24,Both,HCM,178000,6500,2400000,350,15600000
CAMP_013,2024-01-21,TikTok,Sales,Fashion,18-24,Female,DN,289000,11200,2200000,600,26000000
CAMP_014,2024-01-21,Google,Engagement,Electronics,25-34,Male,HN,156000,5900,3600000,320,16800000
CAMP_015,2024-01-22,Facebook,Lead_Generation,Food,35-44,Both,HCM,103000,3100,2600000,170,8900000
CAMP_016,2024-01-22,Instagram,Sales,Fashion,25-34,Female,HCM,201000,7800,3900000,440,20500000
CAMP_017,2024-01-23,Google,Brand_Awareness,Electronics,35-44,Male,HN,119000,4200,3300000,230,11500000
CAMP_018,2024-01-23,TikTok,Sales,Food,18-24,Both,DN,243000,9200,2000000,490,21000000
CAMP_019,2024-01-24,Facebook,Engagement,Fashion,18-24,Female,HCM,167000,6100,2700000,330,14900000
CAMP_020,2024-01-24,Instagram,Lead_Generation,Electronics,25-34,Male,HN,142000,4800,3500000,260,13200000
