ticket_id,created_date,resolved_date,channel,category,priority,agent_id,agent_name,first_response_time_mins,resolution_time_hours,customer_satisfaction_score,reopened,escalated,sla_met,ticket_value_vnd,customer_segment
TK001,2024-10-01 08:15,2024-10-01 10:30,Email,Technical Issue,High,AG001,Nguyen Van A,15,2.25,5,No,No,Yes,5000000,Premium
TK002,2024-10-01 09:20,2024-10-01 09:45,Live Chat,Billing Question,Medium,AG002,Tran Thi B,3,0.42,5,No,No,Yes,2500000,Standard
TK003,2024-10-01 10:05,2024-10-01 16:30,Phone,Product Defect,High,AG003,Le Van C,8,6.42,4,No,Yes,No,8000000,Premium
TK004,2024-10-01 11:30,2024-10-01 12:00,Live Chat,How-to Question,Low,AG001,Nguyen Van A,5,0.50,5,No,No,Yes,500000,Standard
TK005,2024-10-01 13:45,2024-10-02 09:15,Email,Account Access,Medium,AG004,Pham Thi D,45,19.50,3,Yes,No,No,3000000,Standard
TK006,2024-10-01 14:20,2024-10-01 15:00,Phone,Shipping Delay,High,AG002,Tran Thi B,12,0.67,4,No,No,Yes,6500000,Premium
TK007,2024-10-01 15:50,2024-10-01 16:30,Live Chat,Feature Request,Low,AG005,Hoang Van E,10,0.67,5,No,No,Yes,1000000,Standard
TK008,2024-10-02 08:30,2024-10-02 11:45,Email,Technical Issue,Medium,AG001,Nguyen Van A,20,3.25,4,No,No,Yes,4000000,Standard
TK009,2024-10-02 09:15,2024-10-02 09:35,Live Chat,Billing Question,Low,AG003,Le Van C,5,0.33,5,No,No,Yes,1500000,Standard
TK010,2024-10-02 10:00,2024-10-02 14:30,Phone,Product Defect,High,AG002,Tran Thi B,10,4.50,3,Yes,Yes,No,9000000,Premium
TK011,2024-10-02 11:20,2024-10-02 12:00,Email,How-to Question,Low,AG004,Pham Thi D,25,0.67,5,No,No,Yes,800000,Standard
TK012,2024-10-02 13:40,2024-10-03 10:20,Email,Account Access,High,AG005,Hoang Van E,60,20.67,2,Yes,Yes,No,5500000,Premium
TK013,2024-10-02 14:55,2024-10-02 15:30,Live Chat,Shipping Delay,Medium,AG001,Nguyen Van A,7,0.58,5,No,No,Yes,3500000,Standard
TK014,2024-10-02 16:10,2024-10-02 17:00,Phone,Feature Request,Low,AG003,Le Van C,15,0.83,4,No,No,Yes,1200000,Standard
TK015,2024-10-03 08:05,2024-10-03 10:30,Email,Technical Issue,High,AG002,Tran Thi B,18,2.42,4,No,No,Yes,6000000,Premium
